                           model  score_val   eval_metric  pred_time_val     fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
0            WeightedEnsemble_L5   0.756781  recall_macro       5.194764   858.916302                0.003243           0.839119            5      False         36
1         NeuralNetFastAI_BAG_L3   0.753718  recall_macro       5.191520   858.077183                0.145468          41.837298            3      False         23
2            WeightedEnsemble_L4   0.753718  recall_macro       5.196287   858.958482                0.004766           0.881300            4      False         32
3            WeightedEnsemble_L3   0.753131  recall_macro       2.792829   478.493716                0.003605           0.612372            3      False         22
4         NeuralNetFastAI_BAG_L2   0.752674  recall_macro       2.515437   472.326794                0.142076          39.911109            2      False         12
5         NeuralNetFastAI_BAG_L4   0.749848  recall_macro       7.843712  1178.315460                0.136203          38.484437            4      False         33
6          NeuralNetTorch_BAG_L2   0.727762  recall_macro       2.693943   499.309478                0.320582          66.893794            2      False         20
7            WeightedEnsemble_L2   0.714672  recall_macro       0.419176   270.984384                0.003552           0.600806            2      False         11
8          NeuralNetTorch_BAG_L1   0.712569  recall_macro       0.142922   229.329164                0.142922         229.329164            1      False          9
9          NeuralNetTorch_BAG_L3   0.712532  recall_macro       5.370963   839.607867                0.324911          23.367983            3      False         31
10               LightGBM_BAG_L2   0.709677  recall_macro       2.694505   515.227247                0.321144          82.811562            2      False         14
11             LightGBMXT_BAG_L2   0.709250  recall_macro       3.025509   496.999614                0.652148          64.583929            2      False         13
12                XGBoost_BAG_L2   0.705453  recall_macro       2.495919   545.420422                0.122558         113.004737            2      False         19
13                XGBoost_BAG_L3   0.703992  recall_macro       5.190253   915.614410                0.144200          99.374526            3      False         30
14               LightGBM_BAG_L3   0.702837  recall_macro       5.488533   905.286954                0.442481          89.047070            3      False         25
15             LightGBMXT_BAG_L4   0.702638  recall_macro       8.095734  1195.317123                0.388226          55.486101            4      False         34
16             LightGBMXT_BAG_L3   0.702575  recall_macro       5.365920   868.683564                0.319867          52.443680            3      False         24
17                XGBoost_BAG_L1   0.701759  recall_macro       0.202501    53.848822                0.202501          53.848822            1      False          8
18               LightGBM_BAG_L1   0.701350  recall_macro       0.272702    41.054414                0.272702          41.054414            1      False          3
19               LightGBM_BAG_L4   0.700772  recall_macro       8.026414  1203.360569                0.318905          63.529547            4      False         35
20         ExtraTreesEntr_BAG_L3   0.693393  recall_macro       5.332619   818.741948                0.286566           2.502064            3      False         29
21       RandomForestGini_BAG_L2   0.692674  recall_macro       2.647148   437.970235                0.273787           5.554550            2      False         15
22         ExtraTreesGini_BAG_L3   0.692373  recall_macro       5.472062   817.899117                0.426010           1.659233            3      False         28
23       RandomForestEntr_BAG_L2   0.690343  recall_macro       2.638856   440.090084                0.265495           7.674400            2      False         16
24         ExtraTreesEntr_BAG_L2   0.688959  recall_macro       2.654600   434.098236                0.281239           1.682552            2      False         18
25       RandomForestGini_BAG_L3   0.688795  recall_macro       5.344428   823.197537                0.298376           6.957653            3      False         26
26             LightGBMXT_BAG_L1   0.687281  recall_macro       0.665082    54.360809                0.665082          54.360809            1      False          2
27       RandomForestEntr_BAG_L3   0.686785  recall_macro       5.319628   822.641516                0.273576           6.401632            3      False         27
28         ExtraTreesGini_BAG_L2   0.686721  recall_macro       2.667022   434.123251                0.293661           1.707566            2      False         17
29       RandomForestEntr_BAG_L1   0.678749  recall_macro       0.235548     3.062529                0.235548           3.062529            1       True          5
30       RandomForestGini_BAG_L1   0.676312  recall_macro       0.229727     2.998929                0.229727           2.998929            1       True          4
31         ExtraTreesGini_BAG_L1   0.673418  recall_macro       0.244481     1.485015                0.244481           1.485015            1       True          6
32         ExtraTreesEntr_BAG_L1   0.670792  recall_macro       0.256565     1.473345                0.256565           1.473345            1       True          7
33          LightGBMLarge_BAG_L1   0.557669  recall_macro       0.037801     8.183047                0.037801           8.183047            1      False         10
34        NeuralNetFastAI_BAG_L1   0.539458  recall_macro       0.123834    44.802656                0.123834          44.802656            1      False          1
35          LightGBMLarge_BAG_L2   0.333333  recall_macro       2.400297   439.154559                0.026937           6.738875            2      False         21
36  RandomForestGini_BAG_L1_FULL        NaN  recall_macro       0.229727     2.998929                0.229727           2.998929            1       True         40
37  RandomForestEntr_BAG_L1_FULL        NaN  recall_macro       0.235548     3.062529                0.235548           3.062529            1       True         41
38    ExtraTreesGini_BAG_L1_FULL        NaN  recall_macro       0.244481     1.485015                0.244481           1.485015            1       True         42
39    ExtraTreesEntr_BAG_L1_FULL        NaN  recall_macro       0.256565     1.473345                0.256565           1.473345            1       True         43
40           XGBoost_BAG_L3_FULL        NaN  recall_macro            NaN    72.018997                     NaN           3.108674            3       True         66
