id,timestamp,device_ip,sysName,ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label,if_name
1,2025-09-17 16:52:28,192.168.99.1,R1.cisco.local,10613971,9719230,0,34402,0,27127,23509,23483,15007,0,0,10565,26,0,0,2
2,2025-09-17 16:52:28,192.168.99.2,S1.cisco.local,1502778,912871,0,11159,0,8215,295,295,280,2,0,0,0,0,0,10001
3,2025-09-17 16:52:28,192.168.99.3,S2.cisco.local,5461682,5164676,0,17847,0,13891,624,624,464,3,0,0,0,0,0,10001
4,2025-09-17 16:52:28,192.168.99.4,S3.cisco.local,4329075,4496245,0,4684,0,5491,302,302,271,1,0,0,0,0,0,10001
5,2025-09-17 16:52:32,192.168.99.1,R1.cisco.local,10617845,9722094,0,34428,0,27142,23529,23502,15015,0,0,10571,27,0,0,2
6,2025-09-17 16:52:33,192.168.99.2,S1.cisco.local,1508412,914595,0,11174,0,8222,296,296,281,2,0,0,0,0,0,10001
7,2025-09-17 16:52:33,192.168.99.3,S2.cisco.local,5462150,5165026,0,17853,0,13894,625,625,465,3,0,0,0,0,0,10001
8,2025-09-17 16:52:33,192.168.99.4,S3.cisco.local,4329075,4496373,0,4684,0,5491,303,303,272,1,0,0,0,0,0,10001
9,2025-09-17 16:52:48,192.168.99.1,R1.cisco.local,10627640,9728227,0,34504,0,27182,23593,23565,15041,0,0,10583,28,0,0,2
10,2025-09-17 16:52:48,192.168.99.2,S1.cisco.local,1522953,918061,0,11212,0,8241,297,297,282,2,0,0,0,0,0,10001
11,2025-09-17 16:52:48,192.168.99.3,S2.cisco.local,5464876,5168469,0,17884,0,13910,626,626,466,3,0,0,0,0,0,10001
12,2025-09-17 16:52:48,192.168.99.4,S3.cisco.local,4330540,4497423,0,4686,0,5497,304,304,273,1,0,0,0,0,0,10001
13,2025-09-17 16:53:03,192.168.99.1,R1.cisco.local,10645134,9742070,0,34612,0,27259,23650,23622,15064,0,0,10633,28,0,0,2
14,2025-09-17 16:53:03,192.168.99.2,S1.cisco.local,1526092,920957,0,11238,0,8259,298,298,283,2,0,0,0,0,0,10001
15,2025-09-17 16:53:03,192.168.99.3,S2.cisco.local,5473278,5177382,0,17947,0,13942,627,627,467,3,0,0,0,0,0,10001
16,2025-09-17 16:53:03,192.168.99.4,S3.cisco.local,4337989,4500371,0,4705,0,5523,305,305,274,1,0,0,0,0,0,10001
17,2025-09-17 16:53:18,192.168.99.1,R1.cisco.local,10654261,9747512,0,34701,0,27304,23729,23699,15098,0,0,10643,30,0,0,2
18,2025-09-17 16:53:18,192.168.99.2,S1.cisco.local,1531814,924169,0,11286,0,8282,299,299,284,2,0,0,0,0,0,10001
19,2025-09-17 16:53:18,192.168.99.3,S2.cisco.local,5476162,5179270,0,17983,0,13962,628,628,468,3,0,0,0,0,0,10001
20,2025-09-17 16:53:18,192.168.99.4,S3.cisco.local,4338117,4501075,0,4707,0,5527,306,306,275,1,0,0,0,0,0,10001
21,2025-09-17 16:53:33,192.168.99.1,R1.cisco.local,10661429,9753475,0,34759,0,27350,23763,23732,15118,0,0,10667,31,0,0,2
22,2025-09-17 16:53:33,192.168.99.2,S1.cisco.local,1534456,927423,0,11307,0,8298,300,300,285,2,0,0,0,0,0,10001
23,2025-09-17 16:53:33,192.168.99.3,S2.cisco.local,5477960,5182007,0,18007,0,13980,629,629,469,3,0,0,0,0,0,10001
24,2025-09-17 16:53:33,192.168.99.4,S3.cisco.local,4339686,4502712,0,4716,0,5537,307,307,276,1,0,0,0,0,0,10001
25,2025-09-17 16:53:48,192.168.99.1,R1.cisco.local,10669350,9759890,0,34822,0,27397,23798,23766,15136,0,0,10695,32,0,0,2
26,2025-09-17 16:53:48,192.168.99.2,S1.cisco.local,1537394,930117,0,11331,0,8314,301,301,286,2,0,0,0,0,0,10001
27,2025-09-17 16:53:48,192.168.99.3,S2.cisco.local,5480277,5185030,0,18032,0,13998,630,630,470,3,0,0,0,0,0,10001
28,2025-09-17 16:53:48,192.168.99.4,S3.cisco.local,4341229,4504565,0,4726,0,5551,308,308,277,1,0,0,0,0,0,10001
29,2025-09-17 16:54:03,192.168.99.1,R1.cisco.local,10674661,9764557,0,34862,0,27432,23826,23791,15157,0,0,10706,35,0,0,2
30,2025-09-17 16:54:03,192.168.99.2,S1.cisco.local,1539653,932949,0,11348,0,8331,302,302,287,2,0,0,0,0,0,10001
31,2025-09-17 16:54:03,192.168.99.3,S2.cisco.local,5481513,5186252,0,18048,0,14008,631,631,471,3,0,0,0,0,0,10001
32,2025-09-17 16:54:03,192.168.99.4,S3.cisco.local,4341567,4505555,0,4731,0,5558,309,309,278,1,0,0,0,0,0,10001
33,2025-09-17 16:54:18,192.168.99.1,R1.cisco.local,10679656,9768753,0,34904,0,27465,23861,23824,15182,0,0,10712,37,0,0,2
34,2025-09-17 16:54:18,192.168.99.2,S1.cisco.local,1542126,935717,0,11368,0,8348,303,303,288,2,0,0,0,0,0,10001
35,2025-09-17 16:54:18,192.168.99.3,S2.cisco.local,5482718,5187568,0,18063,0,14020,632,632,472,3,0,0,0,0,0,10001
36,2025-09-17 16:54:18,192.168.99.4,S3.cisco.local,4341771,4506343,0,4734,0,5563,310,310,279,1,0,0,0,0,0,10001
37,2025-09-17 16:54:34,192.168.99.1,R1.cisco.local,10684900,9772737,0,34949,0,27496,23898,23861,15203,0,0,10718,37,0,0,2
38,2025-09-17 16:54:34,192.168.99.2,S1.cisco.local,1549798,939708,0,11401,0,8371,304,304,289,2,0,0,0,0,0,10001
39,2025-09-17 16:54:34,192.168.99.3,S2.cisco.local,5483562,5188578,0,18074,0,14027,633,633,473,3,0,0,0,0,0,10001
40,2025-09-17 16:54:34,192.168.99.4,S3.cisco.local,4341771,4507378,0,4734,0,5564,311,311,280,1,0,0,0,0,0,10001
